17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:32.606 > 204951,2
17:35:32.621 > 204989,0
17:35:32.637 > 204989,0
17:35:32.638 > 204989,0
17:35:32.653 > 204989,0
17:35:32.669 > 204989,0
17:35:32.670 > 204989,0
17:35:32.685 > 204989,0
17:35:32.685 > 204989,0
17:35:32.701 > 204989,0
17:35:32.717 > 204989,0
17:35:32.717 > 204962,1
17:35:32.732 > 204962,1
17:35:32.748 > 204962,1
17:35:32.748 > 204962,1
17:35:32.765 > 204962,1
17:35:32.766 > 204962,1
17:35:32.780 > 204962,1
17:35:32.796 > 204962,1
17:35:32.797 > 204962,1
17:35:32.813 > 204962,1
17:35:32.829 > 205007,0
17:35:32.830 > 205007,0
17:35:32.845 > 205007,0
17:35:32.846 > 205007,0
17:35:32.861 > 205007,0
17:35:32.877 > 205007,0
17:35:32.878 > 205007,0
17:35:32.893 > 205007,0
17:35:32.908 > 205007,0
17:35:32.909 > 205007,0
17:35:32.925 > 204988,1
17:35:32.926 > 204988,1
17:35:32.940 > 204988,1
17:35:32.957 > 204988,1
17:35:32.957 > 204988,1
17:35:32.972 > 204988,1
17:35:32.989 > 204988,1
17:35:32.989 > 204988,1
17:35:33.005 > 204988,1
17:35:33.005 > 204967,2
17:35:33.020 > 204967,2
17:35:33.037 > 204967,2
17:35:33.037 > 204967,2
17:35:33.053 > 204967,2
17:35:33.069 > 204967,2
17:35:33.069 > 204967,2
17:35:33.085 > 204967,2
17:35:33.085 > 204967,2
17:35:33.101 > 204967,2
17:35:33.116 > 204983,0
17:35:33.117 > 204983,0
17:35:33.133 > 204983,0
17:35:33.148 > 204983,0
17:35:33.149 > 204983,0
17:35:33.165 > 204983,0
17:35:33.165 > 204983,0
17:35:33.181 > 204983,0
17:35:33.197 > 204983,0
17:35:33.197 > 204983,0
17:35:33.212 > 204969,1
17:35:33.229 > 204969,1
17:35:33.229 > 204969,1
17:35:33.244 > 204969,1
17:35:33.244 > 204969,1
17:35:33.260 > 204969,1
17:35:33.276 > 204969,1
17:35:33.277 > 204969,1
17:35:33.293 > 204969,1
17:35:33.309 > 204969,1
17:35:33.309 > 204979,0
17:35:33.324 > 204979,0
17:35:33.325 > 204979,0
17:35:33.340 > 204979,0
17:35:33.357 > 204979,0
17:35:33.357 > 204979,0
17:35:33.373 > 204979,0
17:35:33.388 > 204979,0
17:35:33.389 > 204979,0
17:35:33.404 > 204979,0
17:35:33.405 > 205004,0
17:35:33.420 > 205004,0
17:35:33.436 > 205004,0
17:35:33.436 > 205004,0
17:35:33.452 > 205004,0
17:35:33.468 > 205004,0
17:35:33.469 > 205004,0
17:35:33.485 > 205004,0
17:35:33.485 > 205004,0
17:35:33.501 > 204988,1
17:35:33.516 > 204988,1
17:35:33.517 > 204988,1
17:35:33.533 > 204988,1
17:35:33.549 > 204988,1
17:35:33.549 > 204988,1
17:35:33.565 > 204988,1
17:35:33.565 > 204988,1
17:35:33.580 > 204988,1
17:35:33.597 > 204988,1
17:35:33.597 > 204968,2
17:35:33.613 > 204968,2
17:35:33.628 > 204968,2
17:35:33.629 > 204968,2
17:35:33.645 > 204968,2
17:35:33.645 > 204968,2
17:35:33.660 > 204968,2
17:35:33.677 > 204968,2
17:35:33.677 > 204968,2
17:35:33.693 > 204968,2
17:35:33.708 > 204983,0
17:35:33.709 > 204983,0
17:35:33.724 > 204983,0
17:35:33.724 > 204983,0
17:35:33.740 > 204983,0
17:35:33.756 > 204983,0
17:35:33.757 > 204983,0
17:35:33.773 > 204983,0
17:35:33.789 > 204983,0
17:35:33.789 > 204983,0
17:35:33.804 > 204985,0
17:35:33.805 > 204985,0
17:35:33.820 > 204985,0
17:35:33.836 > 204985,0
17:35:33.836 > 204985,0
17:35:33.852 > 204985,0
17:35:33.869 > 204985,0
17:35:33.869 > 204985,0
17:35:33.884 > 204985,0
17:35:33.885 > 204985,0
17:35:33.900 > 204977,1
17:35:33.916 > 204977,1
17:35:33.916 > 204977,1
17:35:33.932 > 204977,1
17:35:33.948 > 204977,1
17:35:33.948 > 204977,1
17:35:33.964 > 204977,1
17:35:33.965 > 204977,1
17:35:33.981 > 204977,1
17:35:33.996 > 204977,1
17:35:33.997 > 205002,0
17:35:34.013 > 205002,0
17:35:34.028 > 205002,0
17:35:34.028 > 205002,0
17:35:34.044 > 205002,0
17:35:34.044 > 205002,0
17:35:34.061 > 205002,0
17:35:34.076 > 205002,0
17:35:34.077 > 205002,0
17:35:34.092 > 205002,0
17:35:34.108 > 204979,1
17:35:34.109 > 204979,1
17:35:34.124 > 204979,1
17:35:34.125 > 204979,1
17:35:34.140 > 204979,1
17:35:34.157 > 204979,1
17:35:34.157 > 204979,1
17:35:34.172 > 204979,1
17:35:34.188 > 204979,1
17:35:34.189 > 204979,1
17:35:34.204 > 204955,2
17:35:34.205 > 204955,2
17:35:34.220 > 204955,2
17:35:34.236 > 204955,2
17:35:34.236 > 204955,2
17:35:34.252 > 204955,2
17:35:34.268 > 204955,2
17:35:34.269 > 204955,2
17:35:34.284 > 204955,2
17:35:34.285 > 204966,0
17:35:34.300 > 204966,0
17:35:34.316 > 204966,0
17:35:34.316 > 204966,0
17:35:34.332 > 204966,0
17:35:34.348 > 204966,0
17:35:34.348 > 204966,0
17:35:34.364 > 204966,0
17:35:34.364 > 204966,0
17:35:34.380 > 204966,0
17:35:34.396 > 204984,0
17:35:34.397 > 204984,0
17:35:34.412 > 204984,0
17:35:34.428 > 204984,0
17:35:34.428 > 204984,0
17:35:34.444 > 204984,0
17:35:34.445 > 204984,0
17:35:34.460 > 204984,0
17:35:34.476 > 204984,0
17:35:34.476 > 204984,0
17:35:34.492 > 204970,1
17:35:34.508 > 204970,1
17:35:34.508 > 204970,1
17:35:34.523 > 204970,1
17:35:34.524 > 204970,1
17:35:34.539 > 204970,1
17:35:34.556 > 204970,1
17:35:34.556 > 204970,1
