19:20:49.557 > 
19:20:49.558 > Brownout detector was tri␏␀=␀�␀�␀ɕ�5Rj��ets Jul 29 2019 12:21:46
19:20:50.504 > 
19:20:50.504 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:50.524 > configsip: 0, SPIWP:0xee
19:20:50.524 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:50.524 > mode:DIO, clock div:2
19:20:50.524 > load:0x3fff0030,len:1184
19:20:50.524 > load:0x40078000,len:12776
19:20:50.524 > load:0x40080400,len:3032
19:20:50.524 > entry 0x400805e4
19:20:56.343 > 205076,-37
19:20:56.358 > 205076,-37
19:20:56.359 > 205076,-37
19:20:56.374 > 205076,-37
19:20:56.391 > 205076,-37
19:20:56.391 > 205076,-37
19:20:56.406 > 205076,-37
19:20:56.407 > 205121,-45
19:20:56.422 > 205121,-45
19:20:56.438 > 205121,-45
19:20:56.439 > 205121,-45
19:20:56.454 > 205121,-45
19:20:56.470 > 205121,-45
19:20:56.471 > 205121,-45
19:20:56.486 > 205121,-45
19:20:56.487 > 205121,-45
19:20:56.503 > 205121,-45
19:20:56.518 > 205112,-45
19:20:56.518 > 205112,-45
19:20:56.534 > 205112,-45
19:20:56.550 > 205112,-45
19:20:56.551 > 205112,-45
19:20:56.566 > 205112,-45
19:20:56.567 > 205112,-45
19:20:56.583 > 205112,-45
19:20:56.598 > 205112,-45
19:20:56.599 > 205112,-45
19:20:56.614 > 205079,-45
19:20:56.630 > 205079,-45
19:20:56.631 > 205079,-45
19:20:56.646 > 205079,-45
19:20:56.646 > 205079,-45
19:20:56.662 > 205079,-45
19:20:56.678 > 205079,-45
19:20:56.679 > 205079,-45
19:20:56.693 > 205113,-34
19:20:56.709 > 205113,-34
19:20:56.710 > 205113,-34
19:20:56.726 > 205113,-34
19:20:56.727 > 205113,-34
19:20:56.743 > 205113,-34
19:20:56.758 > 205113,-34
19:20:56.758 > 205113,-34
19:20:56.774 > 205113,-34
19:20:56.790 > 205113,-34
19:20:56.790 > 205094,-34
19:20:56.806 > 205094,-34
19:20:56.806 > 205094,-34
19:20:56.821 > 205094,-34
19:20:56.837 > 205094,-34
19:20:56.838 > 205094,-34
19:20:56.854 > 205094,-34
19:20:56.870 > 205094,-34
19:20:56.870 > 205094,-34
19:20:56.886 > 205094,-34
19:20:56.887 > 205116,-22
19:20:56.893 > 
